t,cum_regret_linucb,cum_regret_alg1_oracle_bank,cum_regret_alg1_random_bank
284,13.055787501717735,74.82396055124012,48.01473435246097
285,13.05988048746677,74.82396055124012,48.40356610528052
286,13.072047748414239,74.82396055124012,48.4653582252221
287,13.072047748414239,74.82396055124012,48.56213036113182
288,13.072047748414239,74.82396055124012,48.62852452991171
289,13.08119760736729,74.82396055124012,48.70970357609072
290,13.14573443334714,74.82396055124012,48.9807803147854
291,13.14573443334714,74.82396055124012,49.036365237264434
292,13.14862795186595,74.82396055124012,49.17218311061138
293,13.14862795186595,74.82396055124012,49.27722401351523
294,13.14862795186595,74.82396055124012,49.355579626170204
295,13.203185317683278,74.82396055124012,49.44324113047323
296,13.238999623024709,74.82396055124012,49.55386905242574
297,13.265295284765559,74.82396055124012,49.76615877297021
298,13.297316077720625,74.82396055124012,50.02936678139397
299,13.316220260743865,74.82396055124012,50.102244085240564
300,13.316220260743865,74.82396055124012,50.15065641068227
301,13.316220260743865,74.82396055124012,50.429506463469885
302,13.324027187811208,74.82396055124012,50.62155876296051
303,13.324027187811208,74.82396055124012,50.701888065237135
304,13.351280895934222,74.82396055124012,50.978824422641466
305,13.387678902339806,74.82396055124012,51.05406194778638
306,13.397516134752907,74.82396055124012,51.2448724136821
307,13.405368827660729,74.82396055124012,51.31632939630359
308,13.445505194248806,74.82396055124012,51.38921699639803
309,13.490930262394645,74.82396055124012,51.46144347919997
310,13.495515512419557,74.82396055124012,51.55142015386419
311,13.531326191608928,74.82396055124012,51.712451386483664
312,13.557677424331802,74.82396055124012,52.09452408974863
313,13.654887907170021,74.82396055124012,52.25242813910733
314,13.656408418124677,74.82396055124012,52.30903990565081
315,13.682359724830981,74.82396055124012,52.53252715904758
316,13.689766721146025,74.82396055124012,52.85531008025751
317,13.692443897859519,74.82396055124012,52.94305590937096
318,13.692443897859519,74.82396055124012,53.03463975342693
319,13.726647454986807,74.82396055124012,53.3087776328344
320,13.734279022082953,74.82396055124012,53.364853385787036
321,13.734380592858683,74.82396055124012,53.514358261457865
322,13.734380592858683,74.82396055124012,53.588409431994265
323,13.811871564579668,74.82396055124012,53.6575202301188
324,13.818446451658849,74.82396055124012,53.760674349058355
325,13.824749243941184,74.82396055124012,53.90248126767446
326,13.847422267152995,74.82396055124012,54.20386489759575
327,13.91958444780292,74.82396055124012,54.32847040209968
328,13.921136649842243,74.82396055124012,54.38303628372427
329,13.938511007758757,74.82396055124012,54.63587510334334
330,13.94795560610401,74.82396055124012,54.95284441835145
331,13.94795560610401,74.82396055124012,55.51720155847725
332,13.94795560610401,74.82396055124012,55.59206621121968
333,14.015869580070436,74.82396055124012,55.79407712232485
334,14.015869580070436,74.82396055124012,55.832281736886436
335,14.031458650223225,74.82396055124012,55.94534192570165
336,14.038998848136204,74.82396055124012,56.021881396407224
337,14.051950728032546,74.82396055124012,56.07708960944579
338,14.051950728032546,74.82396055124012,56.16542550569196
339,14.051950728032546,74.82396055124012,56.33513596565901
340,14.061115090192548,74.82396055124012,56.553497172019554
341,14.061562541425822,74.82396055124012,56.63722020411115
342,14.063435447205286,74.82396055124012,56.70511792030927
343,14.098329134084155,74.82396055124012,56.98132309294959
344,14.145177331951976,74.82396055124012,57.3131220656873
345,14.145177331951976,74.82396055124012,57.656859479786604
346,14.145177331951976,74.82396055124012,57.94816397467971
347,14.246340023230928,74.82396055124012,58.18110680221049
348,14.267158915727105,74.82396055124012,58.358969033857115
349,14.306703856848173,74.82396055124012,58.38229356772373
350,14.306703856848173,74.82396055124012,58.392013950200855
351,14.329483237004332,74.82396055124012,58.41338612694524
352,14.333884256830562,74.82396055124012,58.44543602635666
353,14.360555421569797,74.82396055124012,58.515933328804536
354,14.383255239569966,74.82396055124012,58.722964798217525
355,14.383255239569966,74.82396055124012,58.85508809899569
356,14.418745573367929,74.82396055124012,58.929935110616306
357,14.418745573367929,74.82396055124012,59.05504261167565
358,14.452692759995719,74.82396055124012,59.385071406715774
359,14.463851915222559,74.82396055124012,59.68041057582507
360,14.463851915222559,74.82396055124012,60.17685087712559
361,14.484945349422706,74.82396055124012,60.46640814302329
362,14.51482352055403,74.82396055124012,60.692946934990744
363,14.51482352055403,74.82396055124012,60.81481772901343
364,14.526843937236398,74.82396055124012,60.81481772901343
365,14.535861004229307,74.82396055124012,60.82383479600634
366,14.565884877270657,74.82396055124012,60.85385866904769
367,14.619305629380003,74.82396055124012,60.94051737054993
368,14.663489821509613,74.82396055124012,61.11365487907451
369,14.680218313245724,74.82396055124012,61.254462037531894
370,14.787789404147324,74.82396055124012,61.398032132356335
371,14.871638397880144,74.82396055124012,61.531406447800876
372,14.871638397880144,74.82396055124012,61.947416013839984
373,14.871638397880144,74.82396055124012,62.32976913369204
374,14.871638397880144,74.82396055124012,62.807581603948066
375,14.88347988073936,74.82396055124012,63.245493479657085
376,14.904422082134463,74.82396055124012,63.62597220141624
377,14.949399808096906,74.82396055124012,63.846340898308625
378,14.949399808096906,74.82396055124012,64.02217181650225
379,14.949399808096906,74.84197130508785,64.16723846572805
380,14.989780642193843,74.84285018704283,64.33855422739884
381,14.995892610244407,74.84285018704283,64.52358129432892
382,15.000796929970855,74.84775450676928,64.80679056646294
383,15.000869898594356,74.84782747539278,65.15769554519807
384,15.018551771093282,74.90858687635448,65.52332700946903
385,15.073703470425086,74.96373857568628,65.91073092545965
386,15.073703470425086,75.03443021867388,66.3192050343879
