t,cum_regret_linucb_baseline_mean,cum_regret_linucb_baseline_se,cum_regret_alg1_oracle_mean,cum_regret_alg1_oracle_se,cum_regret_fixed_theta_star,cum_regret_fixed_best_bank
108,12.320603186767592,0.0,22.138766483886236,0.0,0.3022768877359588,0.3022768877359588
109,12.378407785197195,0.0,22.288446020576565,0.0,0.3022768877359588,0.3022768877359588
110,12.605319423716049,0.0,22.44750432045012,0.0,0.3022768877359588,0.3022768877359588
111,12.622666589736992,0.0,22.699941575209845,0.0,0.30343351673212354,0.30343351673212354
112,12.658804331024754,0.0,23.227294187804034,0.0,0.30343351673212354,0.30343351673212354
113,12.727006067072184,0.0,23.295495923851462,0.0,0.30343351673212354,0.30343351673212354
114,12.749821862611686,0.0,23.67837795770358,0.0,0.30343351673212354,0.30343351673212354
115,12.875461975157178,0.0,23.804018070249075,0.0,0.30343351673212354,0.30343351673212354
116,12.875461975157178,0.0,24.28794604945125,0.0,0.30343351673212354,0.30343351673212354
117,12.885533944826086,0.0,24.723189094822192,0.0,0.3063236301238757,0.3063236301238757
118,12.929567109937611,0.0,25.206976598592806,0.0,0.3063236301238757,0.3063236301238757
119,12.933028501308963,0.0,25.681503353068802,0.0,0.3097850214952263,0.3097850214952263
120,13.000036171568782,0.0,25.93652782115361,0.0,0.31931272332857225,0.31931272332857225
121,13.015612291852591,0.0,26.149816819856568,0.0,0.31931272332857225,0.31931272332857225
122,13.067442430571262,0.0,26.61333759501109,0.0,0.31931272332857225,0.31931272332857225
123,13.158993996337433,0.0,27.117595526847833,0.0,0.3268713257654153,0.3268713257654153
124,13.212499550820219,0.0,27.179334614581673,0.0,0.3268713257654153,0.3268713257654153
125,13.313097354146954,0.0,27.337838811545314,0.0,0.3268713257654153,0.3268713257654153
126,13.513382503795285,0.0,27.505036678811916,0.0,0.3268713257654153,0.3268713257654153
127,13.55946578233322,0.0,27.6511709391184,0.0,0.3268713257654153,0.3268713257654153
128,13.566864742129845,0.0,27.847641199922375,0.0,0.3268713257654153,0.3268713257654153
129,13.5669855616518,0.0,28.22235788768323,0.0,0.3268713257654153,0.3268713257654153
130,13.603316687778708,0.0,28.65696814958464,0.0,0.3268713257654153,0.3268713257654153
131,13.620859012404303,0.0,28.674510474210233,0.0,0.3268713257654153,0.3268713257654153
132,13.631551203958436,0.0,28.750676153155524,0.0,0.32955284748080377,0.32955284748080377
133,13.63941015219783,0.0,28.795983131473633,0.0,0.32955284748080377,0.32955284748080377
134,14.005703953550498,0.0,28.91595117656999,0.0,0.32955284748080377,0.32955284748080377
135,14.095178431504037,0.0,28.960039983387304,0.0,0.32955284748080377,0.32955284748080377
136,14.203345169779096,0.0,29.052815290653708,0.0,0.32955284748080377,0.32955284748080377
137,14.203345169779096,0.0,29.20846751134847,0.0,0.32955284748080377,0.32955284748080377
138,14.234076434633977,0.0,29.263016963083928,0.0,0.3336060649982184,0.3336060649982184
139,14.242263874757478,0.0,29.285838890954754,0.0,0.3417935051217204,0.3417935051217204
140,14.509370063618393,0.0,29.30292112271946,0.0,0.3417935051217204,0.3417935051217204
141,14.556610981475695,0.0,29.389692484919713,0.0,0.3417935051217204,0.3417935051217204
142,14.714707171196963,0.0,29.43609714799524,0.0,0.3417935051217204,0.3417935051217204
143,14.853405938409207,0.0,29.644336706629353,0.0,0.3417935051217204,0.3417935051217204
144,14.940437698579753,0.0,29.964968929164087,0.0,0.3417935051217204,0.3417935051217204
145,14.951520646493819,0.0,30.219163719063744,0.0,0.3417935051217204,0.3417935051217204
146,15.151895783286209,0.0,30.323306364069964,0.0,0.3417935051217204,0.3417935051217204
147,15.203352181633564,0.0,30.48954826407131,0.0,0.3417935051217204,0.3417935051217204
148,15.220662229515506,0.0,30.81367572965527,0.0,0.3417935051217204,0.3417935051217204
149,15.248125025741642,0.0,31.404711781638248,0.0,0.3448940560709513,0.3448940560709513
150,15.309265161917137,0.0,31.637123664633254,0.0,0.3448940560709513,0.3448940560709513
151,15.323408701907473,0.0,31.673442071178616,0.0,0.3448940560709513,0.3448940560709513
152,15.323408701907473,0.0,31.78655605993696,0.0,0.3472069297393457,0.3472069297393457
153,15.33293517945053,0.0,31.91074596234293,0.0,0.3567334072824018,0.3567334072824018
154,15.33293517945053,0.0,32.00542838888185,0.0,0.3567334072824018,0.3567334072824018
155,15.39899894420232,0.0,32.091830182307625,0.0,0.3567334072824018,0.3567334072824018
156,15.447232377516823,0.0,32.28203932751462,0.0,0.3567334072824018,0.3567334072824018
157,15.480146470184344,0.0,32.34762295122866,0.0,0.36222131517997586,0.36222131517997586
158,15.562962455451938,0.0,32.37282148929967,0.0,0.36784778961576453,0.36784778961576453
159,15.79509988760295,0.0,32.39005677516688,0.0,0.3738373971230619,0.3738373971230619
160,15.810401099020536,0.0,32.40535798658447,0.0,0.37723474223402725,0.37723474223402725
161,15.858895884911394,0.0,32.4568832775968,0.0,0.37992000848256663,0.37992000848256663
162,15.89687824061682,0.0,32.498796053103426,0.0,0.37992000848256663,0.37992000848256663
163,16.001054325954797,0.0,32.65643160574249,0.0,0.38558940410224246,0.38558940410224246
164,16.036361245903187,0.0,33.12492217126886,0.0,0.3896830027146358,0.3896830027146358
165,16.133682154369374,0.0,33.283690779302056,0.0,0.3896830027146358,0.3896830027146358
166,16.176055119666497,0.0,33.411099035832436,0.0,0.3896830027146358,0.3896830027146358
167,16.17950769146732,0.0,33.65912524731268,0.0,0.3896830027146358,0.3896830027146358
168,16.19646702510259,0.0,34.24458948004831,0.0,0.39299904342097797,0.39299904342097797
169,16.248451703514526,0.0,34.53024150208219,0.0,0.39380354274210067,0.39380354274210067
170,16.260157217308738,0.0,34.54748749448759,0.0,0.39380354274210067,0.39380354274210067
171,16.260157217308738,0.0,34.68033909816252,0.0,0.39380354274210067,0.39380354274210067
172,16.32424464795375,0.0,34.74433980255016,0.0,0.39380354274210067,0.39380354274210067
173,16.33984827248835,0.0,34.8237098896159,0.0,0.39380354274210067,0.39380354274210067
174,16.385218220171698,0.0,34.95927684483043,0.0,0.39380354274210067,0.39380354274210067
175,16.41733443712764,0.0,35.00169370903998,0.0,0.39594532776121744,0.39594532776121744
176,16.485039876708655,0.0,35.02417782806856,0.0,0.4045529703821507,0.4045529703821507
177,16.502259249177847,0.0,35.04139720053775,0.0,0.4045529703821507,0.4045529703821507
178,16.549590359544588,0.0,35.139358779400474,0.0,0.4066616802517135,0.4066616802517135
179,16.618947755302486,0.0,35.240444285265795,0.0,0.419682194953594,0.419682194953594
180,16.787372448113434,0.0,35.587850076582534,0.0,0.419682194953594,0.419682194953594
181,16.87680938357273,0.0,35.91536270532528,0.0,0.4221800410480501,0.4221800410480501
182,17.088896973374734,0.0,36.02028197563478,0.0,0.4221800410480501,0.4221800410480501
183,17.204609186983287,0.0,36.18292242815923,0.0,0.4221800410480501,0.4221800410480501
184,17.221889059273163,0.0,36.4944101397426,0.0,0.4221800410480501,0.4221800410480501
185,17.24896201668963,0.0,37.09233503254105,0.0,0.4221800410480501,0.4221800410480501
