t,cum_regret_linucb_baseline,cum_regret_alg1_oracle_mean,cum_regret_alg1_oracle_se
8055,194.40204491113408,353.00760596260807,16.914944555709283
8056,194.40786126818094,353.00760596260807,16.914944555709283
8057,194.40786126818094,353.00760596260807,16.914944555709283
8058,194.40786126818094,353.00760596260807,16.914944555709283
8059,194.4204070521448,353.00760596260807,16.914944555709283
8060,194.42485344172323,353.00760596260807,16.914944555709283
8061,194.42485344172323,353.00760596260807,16.914944555709283
8062,194.43529646722422,353.00760596260807,16.914944555709283
8063,194.4549152555325,353.00760596260807,16.914944555709283
8064,194.46438730951087,353.00760596260807,16.914944555709283
8065,194.46438730951087,353.00760596260807,16.914944555709283
8066,194.46438730951087,353.00760596260807,16.914944555709283
8067,194.46438730951087,353.00760596260807,16.914944555709283
8068,194.46438730951087,353.00760596260807,16.914944555709283
8069,194.46454538763044,353.00760596260807,16.914944555709283
8070,194.46454538763044,353.00760596260807,16.914944555709283
8071,194.46454538763044,353.00760596260807,16.914944555709283
8072,194.46454538763044,353.00760596260807,16.914944555709283
8073,194.46454538763044,353.00760596260807,16.914944555709283
8074,194.46950087297796,353.00760596260807,16.914944555709283
8075,194.49593918730932,353.00760596260807,16.914944555709283
8076,194.49593918730932,353.00760596260807,16.914944555709283
8077,194.5096513613112,353.00760596260807,16.914944555709283
8078,194.52220707698785,353.00760596260807,16.914944555709283
8079,194.53861421420066,353.00760596260807,16.914944555709283
8080,194.5621631544141,353.00760596260807,16.914944555709283
8081,194.57072200779078,353.00760596260807,16.914944555709283
8082,194.58106282108784,353.00760596260807,16.914944555709283
8083,194.581304174011,353.00760596260807,16.914944555709283
8084,194.581304174011,353.00760596260807,16.914944555709283
8085,194.58480877422727,353.00760596260807,16.914944555709283
8086,194.58480877422727,353.00760596260807,16.914944555709283
8087,194.60136615837712,353.00760596260807,16.914944555709283
8088,194.60136615837712,353.00760596260807,16.914944555709283
8089,194.605229348519,353.00760596260807,16.914944555709283
8090,194.61863490085398,353.00760596260807,16.914944555709283
8091,194.61863490085398,353.00760596260807,16.914944555709283
8092,194.62876431624002,353.00760596260807,16.914944555709283
8093,194.64576457828213,353.00760596260807,16.914944555709283
8094,194.65350028026353,353.00760596260807,16.914944555709283
8095,194.65681171785604,353.00760596260807,16.914944555709283
8096,194.66090034262263,353.00760596260807,16.914944555709283
8097,194.66090034262263,353.00760596260807,16.914944555709283
8098,194.6631263213579,353.00760596260807,16.914944555709283
8099,194.6631263213579,353.00760596260807,16.914944555709283
8100,194.6631263213579,353.00760596260807,16.914944555709283
8101,194.6631263213579,353.00760596260807,16.914944555709283
8102,194.66315875058763,353.00760596260807,16.914944555709283
8103,194.66315875058763,353.00760596260807,16.914944555709283
8104,194.69719121598112,353.00760596260807,16.914944555709283
8105,194.69719121598112,353.00760596260807,16.914944555709283
8106,194.70487444615583,353.00760596260807,16.914944555709283
8107,194.7058152468824,353.00760596260807,16.914944555709283
8108,194.71628847742306,353.00760596260807,16.914944555709283
8109,194.72182786608752,353.00760596260807,16.914944555709283
8110,194.727527279008,353.00760596260807,16.914944555709283
8111,194.729170531238,353.00760596260807,16.914944555709283
8112,194.729170531238,353.00760596260807,16.914944555709283
8113,194.729170531238,353.00760596260807,16.914944555709283
8114,194.729170531238,353.00760596260807,16.914944555709283
8115,194.729170531238,353.00760596260807,16.914944555709283
8116,194.729170531238,353.00760596260807,16.914944555709283
8117,194.729170531238,353.00760596260807,16.914944555709283
8118,194.75253662751075,353.00760596260807,16.914944555709283
8119,194.75253662751075,353.00760596260807,16.914944555709283
8120,194.7742942234883,353.00760596260807,16.914944555709283
8121,194.7952733246291,353.00760596260807,16.914944555709283
8122,194.819936193209,353.00760596260807,16.914944555709283
8123,194.839851935453,353.00760596260807,16.914944555709283
8124,194.84441670959777,353.00760596260807,16.914944555709283
8125,194.88722645158964,353.00760596260807,16.914944555709283
8126,194.88938920643093,353.00760596260807,16.914944555709283
8127,194.88938920643093,353.00760596260807,16.914944555709283
8128,194.88938920643093,353.00760596260807,16.914944555709283
8129,194.88938920643093,353.00760596260807,16.914944555709283
8130,194.91833112268708,353.00760596260807,16.914944555709283
8131,194.95415994529273,353.00760596260807,16.914944555709283
8132,194.96352200812333,353.00760596260807,16.914944555709283
8133,194.96654914542165,353.00760596260807,16.914944555709283
8134,194.98844829489929,353.00760596260807,16.914944555709283
8135,195.00792722336388,353.00760596260807,16.914944555709283
8136,195.01836977355305,353.00760596260807,16.914944555709283
8137,195.02165578591988,353.00760596260807,16.914944555709283
8138,195.02165578591988,353.00760596260807,16.914944555709283
8139,195.03300137676297,353.00760596260807,16.914944555709283
8140,195.03300137676297,353.00760596260807,16.914944555709283
